ip_address,sender_id,receiver_id,amount,music_id,delay
127.0.0.2:5000,U1,U4,1,M1U4,1
127.0.0.2:5000,U1,U5,1,M1U4,3
127.0.0.2:5001,U2,U1,1,M4U4,2
127.0.0.2:5002,U3,U4,1,M4U4,1
127.0.0.2:5003,U4,U2,1,M3U4,3
127.0.0.2:5004,U5,U4,1,M4U4,2
127.0.0.2:5005,U1,U4,1,M1U4,1
127.0.0.2:5006,U1,U5,1,M1U4,3
127.0.0.2:5001,U2,U4,1,M4U4,2
127.0.0.2:5002,U3,U3,1,M4U4,1
127.0.0.2:5003,U4,U1,1,M3U4,3
127.0.0.2:5004,U5,U2,1,M4U4,2
127.0.0.2:5006,U1,U5,1,M1U4,3
127.0.0.2:5007,U2,U4,1,M4U4,2
127.0.0.2:5008,U3,U3,1,M4U4,1
127.0.0.2:5009,U4,U1,1,M3U4,3
127.0.0.2:5010,U5,U2,1,M4U4,2
127.0.0.2:5007,U2,U4,1,M4U4,2
127.0.0.2:5008,U3,U3,1,M4U4,1
127.0.0.2:5009,U4,U1,1,M3U4,3
127.0.0.2:5010,U5,U2,1,M4U4,2
127.0.0.2:5000,U1,U4,1,M1U4,1
127.0.0.2:5000,U1,U5,1,M1U4,3
127.0.0.2:5001,U2,U1,1,M4U4,2
127.0.0.2:5002,U3,U4,1,M4U4,1
127.0.0.2:5003,U4,U2,1,M3U4,3
127.0.0.2:5004,U5,U4,1,M4U4,2
127.0.0.2:5005,U1,U4,1,M1U4,1
127.0.0.2:5006,U1,U5,1,M1U4,3
127.0.0.2:5001,U2,U4,1,M4U4,2
127.0.0.2:5002,U3,U3,1,M4U4,1
127.0.0.2:5003,U4,U1,1,M3U4,3
127.0.0.2:5004,U5,U2,1,M4U4,2
127.0.0.2:5006,U1,U5,1,M1U4,3
127.0.0.2:5007,U2,U4,1,M4U4,2
127.0.0.2:5008,U3,U3,1,M4U4,1
127.0.0.2:5009,U4,U1,1,M3U4,3
127.0.0.2:5010,U5,U2,1,M4U4,2
127.0.0.2:5007,U2,U4,1,M4U4,2
127.0.0.2:5008,U3,U3,1,M4U4,1
127.0.0.2:5009,U4,U1,1,M3U4,3
127.0.0.2:5010,U5,U2,1,M4U4,2
